ingredient,cal,carb,sugar,fiber,protein,fat,vitC,calcium,iron,potassium,magnesium
Tiger nut,160.0,20.0,4.0,4.0,1.6,9.6,0.0,48.0,0.96,193.6,36.8
Coconut,141.6,6.0,2.4,3.6,1.32,13.4,1.32,5.6,0.96,142.4,12.8
Milk,122.0,9.6,9.6,0.0,6.6,7.2,0.0,226.0,0.0,300.0,20.0
Honey,45.6,12.3,12.3,0.0,0.04,0.0,0.07,0.9,0.06,7.8,0.3
Dates,83.1,22.5,18.9,2.1,0.54,0.06,0.12,19.2,0.27,208.8,16.2
Apple,52.0,14.0,10.0,2.4,0.3,0.2,4.6,6.0,0.1,107.0,5.0
Pineapple,40.0,10.4,8.0,1.12,0.4,0.08,38.24,10.4,0.24,87.2,9.6
